x,y
-5.5165639,0.3742788
-5.8196675,0.8988148
-5.9599934,1.4628392
-5.7836941,2.0217285
-5.3556790,2.4936467
-4.8842548,2.7594867
-4.3552073,2.6008497
-3.9163056,2.2502265
-3.4005416,1.9686124
-2.8565524,1.6662511
-2.3409448,1.3597016
-1.8115204,1.0606326
-1.2421436,0.7934880
-0.6907385,0.6019399
-0.1214664,0.4728366
0.4710970,0.4101364
1.0554200,0.4204859
1.6361001,0.5045650
2.1922855,0.6500529
2.7551439,0.8714701
3.2566881,1.1372842
3.7764581,1.4793578
4.2329834,1.8339340
4.6913077,2.2253318
5.1417661,2.6274127
5.5843616,3.0270169
6.0269850,3.4214999
6.4889534,3.8113732
6.9550155,4.1545546
7.4763842,4.4527981
8.0237017,4.6609926
8.5945205,4.7589468
9.1863796,4.6962614
9.7500936,4.4359211
10.1624757,4.0140771
10.2489064,3.5025321
10.0537145,2.9443280
9.7709912,2.3473753
9.5888673,1.7430446
9.6942127,1.2475694
10.1445137,0.9338653
10.7581352,0.7653691
11.3971242,0.6965211
11.9454903,0.6040570
12.4330340,0.2934548
12.7198777,-0.2190224
12.6970860,-0.7895146
12.3907300,-1.3060659
11.9214256,-1.6449225
11.3525082,-1.8622455
10.7565830,-1.9655640
10.1700494,-1.9943793
9.5735124,-2.0021498
8.9841571,-2.0115810
8.3956894,-2.0301075
7.8027136,-2.0610369
7.2172769,-2.1034957
6.6233917,-2.1567908
6.0352685,-2.2171828
5.4447224,-2.2825326
4.8502894,-2.3501061
4.2619052,-2.4150759
3.6658904,-2.4739626
3.0743013,-2.5211194
2.4810799,-2.5541848
1.8845364,-2.5702747
1.2901934,-2.5664283
0.6972602,-2.5397553
0.1010982,-2.4868504
-0.4792408,-2.4076245
-1.0733590,-2.2949029
-1.6403184,-2.1549372
-2.2171534,-1.9768052
-2.7628960,-1.7721564
-3.3052906,-1.5304102
-3.8283957,-1.2566263
-4.3255740,-0.9463868
-4.7812811,-0.5665539
-5.1547291,-0.1384007
-5.5165639,0.3742788
