x_m,y_m
-1.1900,-5.3500
-1.1900,-5.4000
-1.1900,-5.4500
-1.2400,-5.5000
-1.2400,-5.5500
-1.2400,-5.6000
-1.2900,-5.6500
-1.2900,-5.7000
-1.2900,-5.7500
-1.2900,-5.8000
-1.3400,-5.8500
-1.3400,-5.9000
-1.3900,-5.9500
-1.4400,-6.0000
-1.4400,-6.0500
-1.4400,-6.1000
-1.4900,-6.1500
-1.5400,-6.2000
-1.5900,-6.2500
-1.5900,-6.3000
-1.6400,-6.3500
-1.6900,-6.4000
-1.7400,-6.4500
-1.7400,-6.5000
-1.7900,-6.5500
-1.8400,-6.6000
-1.8900,-6.6500
-1.9400,-6.7000
-1.9900,-6.7000
-2.0400,-6.7500
-2.0900,-6.8000
-2.1400,-6.8000
-2.1900,-6.8500
-2.2400,-6.9000
-2.2900,-6.9000
-2.3400,-6.9500
-2.3900,-7.0000
-2.4400,-7.0000
-2.4900,-7.0500
-2.5400,-7.0500
-2.5900,-7.1000
-2.6400,-7.1000
-2.6900,-7.1500
-2.7400,-7.1500
-2.7900,-7.2000
-2.8400,-7.2500
-2.8900,-7.2500
-2.9400,-7.3000
-2.9900,-7.3500
-3.0400,-7.4000
-3.0900,-7.4500
-3.1400,-7.5000
-3.1900,-7.5500
-3.2400,-7.5500
-3.2900,-7.6000
-3.3400,-7.6500
-3.3900,-7.7000
-3.4400,-7.7500
-3.4900,-7.8000
-3.5400,-7.8500
-3.5900,-7.9000
-3.6400,-7.9500
-3.6900,-8.0000
-3.7400,-8.0000
-3.7900,-8.0500
-3.8400,-8.1000
-3.8900,-8.1500
-3.9400,-8.2000
-3.9900,-8.2500
-4.0400,-8.3000
-4.0900,-8.3500
-4.1400,-8.4000
-4.1900,-8.4500
-4.2400,-8.5000
-4.2900,-8.5500
-4.2900,-8.6000
-4.3400,-8.6500
-4.3400,-8.7000
-4.3400,-8.7500
-4.3400,-8.8000
-4.3900,-8.8500
-4.3900,-8.9000
-4.4400,-8.9500
-4.4400,-9.0000
-4.4400,-9.0500
-4.4400,-9.1000
-4.4400,-9.1500
-4.4900,-9.2000
-4.4900,-9.2500
-4.4900,-9.3000
-4.4900,-9.3500
-4.4900,-9.4000
-4.4900,-9.4500
-4.5400,-9.5000
-4.5400,-9.5500
-4.5400,-9.6000
-4.5400,-9.6500
-4.5400,-9.7000
-4.5400,-9.7500
-4.5900,-9.8000
-4.5900,-9.8500
-4.5400,-9.9000
-4.5400,-9.9500
-4.5900,-10.000
-4.5900,-10.050
-4.5900,-10.100
-4.5900,-10.150
-4.5900,-10.200
-4.5900,-10.250
-4.5400,-10.300
-4.4900,-10.3500
-4.4900,-10.4000
-4.4400,-10.4500
-4.3900,-10.5000
-4.3900,-10.5500
-4.3400,-10.6000
-4.3400,-10.6500
-4.2900,-10.7000
-4.2400,-10.7500
-4.2400,-10.8000
-4.1900,-10.8500
-4.1400,-10.9000
-4.0900,-10.9500
-4.0400,-11.0000
-3.9900,-11.0500
-3.9400,-11.0500
-3.8900,-11.1000
-3.8400,-11.1500
-3.7900,-11.2000
-3.7400,-11.2000
-3.6900,-11.2500
-3.6400,-11.2500
-3.5900,-11.2500
-3.5400,-11.3000
-3.4900,-11.3000
-3.4400,-11.3000
-3.3900,-11.3500
-3.3400,-11.3500
-3.2900,-11.3500
-3.2400,-11.3500
-3.1900,-11.4000
-3.1400,-11.4000
-3.0900,-11.4000
-3.0400,-11.4500
-2.9900,-11.4500
-2.9400,-11.4500
-2.8900,-11.4500
-2.8400,-11.5000
-2.7900,-11.5000
-2.7400,-11.4500
-2.6900,-11.4500
-2.6400,-11.4500
-2.5900,-11.4500
-2.5400,-11.4000
-2.4900,-11.4000
-2.4400,-11.4000
-2.3900,-11.3500
-2.3400,-11.3500
-2.2900,-11.3500
-2.2400,-11.3500
-2.1900,-11.3500
-2.1400,-11.3000
-2.0900,-11.2500
-2.0400,-11.2500
-1.9900,-11.2000
-1.9400,-11.1500
-1.8900,-11.1000
-1.8400,-11.0500
-1.7900,-11.0000
-1.7900,-10.9500
-1.7400,-10.9000
-1.6900,-10.8500
-1.6900,-10.8000
-1.6400,-10.7500
-1.5900,-10.7000
-1.5400,-10.6500
-1.4900,-10.6000
-1.4400,-10.5500
-1.3900,-10.5000
